Url,Resource Name,Identity,Country,Language,Partner,Operation,Scenario,Filter,AllowedPaymentMethods,DeltaType/Description,Path,In SelfHost,In SelfHost,SelfHost Response,SelfHost Response,PI State,PI Scenario,Data,Triage
users/me/paymentMethodDescriptions?country=id&family=credit_card&type=amex&language=en-US&partner=xboxsettings&operation=update,paymentMethodDescriptions,credit_card.amex,id,en-US,xboxsettings,update,,,,Baseline Failed: BadRequest,,,,400,400,None,,"{""CorrelationId"":""aad91c0b-6f79-45e0-b2ca-81c61aba2347"",""ErrorCode"":""PaymentMethodFamilyIsNotSupportedForStoreInCountry"",""Message"":""No results found for PaymentMethodFamily and PaymentMethodType for the provided country.""}","[v-pranshinde, Rebase diff test 08182025]"
users/me/paymentMethodDescriptions?country=id&family=credit_card&type=amex&language=en-US&partner=xboxsettings&operation=update,paymentMethodDescriptions,credit_card.amex,id,en-US,xboxsettings,update,,,,Baseline Failed: BadRequest,,,,400,400,None,,"{""CorrelationId"":""3d2eca85-704c-4157-89e3-ea45cd2161b6"",""ErrorCode"":""PaymentMethodFamilyIsNotSupportedForStoreInCountry"",""Message"":""No results found for PaymentMethodFamily and PaymentMethodType for the provided country.""}","[v-pranshinde, Rebase diff test 08182025]"
users/me/paymentMethodDescriptions?country=id&family=credit_card&type=mc&language=en-US&partner=xboxsettings&operation=update,paymentMethodDescriptions,credit_card.mc,id,en-US,xboxsettings,update,,,,Baseline Failed: BadRequest,,,,400,400,None,,"{""CorrelationId"":""cfa9479d-6259-4617-9317-1b9cd70be170"",""ErrorCode"":""PaymentMethodFamilyIsNotSupportedForStoreInCountry"",""Message"":""No results found for PaymentMethodFamily and PaymentMethodType for the provided country.""}","[v-pranshinde, Rebase diff test 08182025]"
users/me/paymentMethodDescriptions?country=id&family=credit_card&type=jcb&language=en-US&partner=xboxsettings&operation=update,paymentMethodDescriptions,credit_card.jcb,id,en-US,xboxsettings,update,,,,Baseline Failed: BadRequest,,,,400,400,None,,"{""CorrelationId"":""a91c7bce-ce44-4ae0-abbc-3b7a1ba3805f"",""ErrorCode"":""PaymentMethodFamilyIsNotSupportedForStoreInCountry"",""Message"":""No results found for PaymentMethodFamily and PaymentMethodType for the provided country.""}","[v-pranshinde, Rebase diff test 08182025]"
users/me/paymentMethodDescriptions?country=id&family=credit_card&type=mc&language=en-US&partner=xboxsettings&operation=update,paymentMethodDescriptions,credit_card.mc,id,en-US,xboxsettings,update,,,,Baseline Failed: BadRequest,,,,400,400,None,,"{""CorrelationId"":""4b5c2139-bff1-4e48-88af-1923f925b7b1"",""ErrorCode"":""PaymentMethodFamilyIsNotSupportedForStoreInCountry"",""Message"":""No results found for PaymentMethodFamily and PaymentMethodType for the provided country.""}","[v-pranshinde, Rebase diff test 08182025]"
users/me/paymentMethodDescriptions?country=id&family=credit_card&type=jcb&language=en-US&partner=xboxsettings&operation=update,paymentMethodDescriptions,credit_card.jcb,id,en-US,xboxsettings,update,,,,Baseline Failed: BadRequest,,,,400,400,None,,"{""CorrelationId"":""73327faa-7d64-40a9-96a5-806b5530e041"",""ErrorCode"":""PaymentMethodFamilyIsNotSupportedForStoreInCountry"",""Message"":""No results found for PaymentMethodFamily and PaymentMethodType for the provided country.""}","[v-pranshinde, Rebase diff test 08182025]"
users/me/paymentMethodDescriptions?country=jp&family=credit_card&language=en-US&partner=xboxsettings&operation=update,paymentMethodDescriptions,credit_card,jp,en-US,xboxsettings,update,,,,Baseline Failed: BadRequest,,,,400,400,None,,"{""CorrelationId"":""fe0bb061-cafe-4c9a-b53d-4aa2daf8f98f"",""ErrorCode"":""PaymentMethodFamilyIsNotSupportedForStoreInCountry"",""Message"":""No results found for PaymentMethodFamily and PaymentMethodType for the provided country.""}","[v-pranshinde, Rebase diff test 08182025]"
users/me/paymentMethodDescriptions?country=jp&family=credit_card&language=en-US&partner=xboxsettings&operation=update,paymentMethodDescriptions,credit_card,jp,en-US,xboxsettings,update,,,,Baseline Failed: BadRequest,,,,400,400,None,,"{""CorrelationId"":""bc483d9c-b68d-41a0-a41b-3db15b4564c5"",""ErrorCode"":""PaymentMethodFamilyIsNotSupportedForStoreInCountry"",""Message"":""No results found for PaymentMethodFamily and PaymentMethodType for the provided country.""}","[v-pranshinde, Rebase diff test 08182025]"
users/me/paymentMethodDescriptions?country=jp&family=credit_card&type=visa&language=en-US&partner=xboxsettings&operation=update,paymentMethodDescriptions,credit_card.visa,jp,en-US,xboxsettings,update,,,,Baseline Failed: BadRequest,,,,400,400,None,,"{""CorrelationId"":""1a89c229-0a11-4af5-87d8-629ef05c3881"",""ErrorCode"":""PaymentMethodFamilyIsNotSupportedForStoreInCountry"",""Message"":""No results found for PaymentMethodFamily and PaymentMethodType for the provided country.""}","[v-pranshinde, Rebase diff test 08182025]"
users/me/paymentMethodDescriptions?country=jp&family=credit_card&type=visa&language=en-US&partner=xboxsettings&operation=update,paymentMethodDescriptions,credit_card.visa,jp,en-US,xboxsettings,update,,,,Baseline Failed: BadRequest,,,,400,400,None,,"{""CorrelationId"":""efc43895-26b2-4f59-afde-6a8d5cc1dfa5"",""ErrorCode"":""PaymentMethodFamilyIsNotSupportedForStoreInCountry"",""Message"":""No results found for PaymentMethodFamily and PaymentMethodType for the provided country.""}","[v-pranshinde, Rebase diff test 08182025]"
users/me/paymentMethodDescriptions?country=jp&family=credit_card&type=amex&language=en-US&partner=xboxsettings&operation=update,paymentMethodDescriptions,credit_card.amex,jp,en-US,xboxsettings,update,,,,Baseline Failed: BadRequest,,,,400,400,None,,"{""CorrelationId"":""822eb8cb-3c8a-40fd-a614-2390168a49b9"",""ErrorCode"":""PaymentMethodFamilyIsNotSupportedForStoreInCountry"",""Message"":""No results found for PaymentMethodFamily and PaymentMethodType for the provided country.""}","[v-pranshinde, Rebase diff test 08182025]"
users/me/paymentMethodDescriptions?country=jp&family=credit_card&type=jcb&language=en-US&partner=xboxsettings&operation=update,paymentMethodDescriptions,credit_card.jcb,jp,en-US,xboxsettings,update,,,,Baseline Failed: BadRequest,,,,400,400,None,,"{""CorrelationId"":""fe0c7611-9a2c-4a07-ac1c-97057aacdcce"",""ErrorCode"":""PaymentMethodFamilyIsNotSupportedForStoreInCountry"",""Message"":""No results found for PaymentMethodFamily and PaymentMethodType for the provided country.""}","[v-pranshinde, Rebase diff test 08182025]"
users/me/paymentMethodDescriptions?country=jp&family=credit_card&type=mc&language=en-US&partner=xboxsettings&operation=update,paymentMethodDescriptions,credit_card.mc,jp,en-US,xboxsettings,update,,,,Baseline Failed: BadRequest,,,,400,400,None,,"{""CorrelationId"":""fee348b3-b1e8-4520-87f8-310b2a5dce03"",""ErrorCode"":""PaymentMethodFamilyIsNotSupportedForStoreInCountry"",""Message"":""No results found for PaymentMethodFamily and PaymentMethodType for the provided country.""}","[v-pranshinde, Rebase diff test 08182025]"
