ResourceAction,PaymentMethodFamily,PaymentMethodType,Country,ContainedIn_Partner,Partner,Message,ErrorCode,DetailsErrorCode,DetailsMessage,DetailsTarget,ClientAction
,real_time_payments,PaymentMethodType.UPICommercial,,,,ClientActionContract.NoMessage,UpiErrorCodes.InvalidUpiAccount,,UpiErrorMessages.InvalidUpiAccount,UpiErrorTargets.Account,
UpdateModernPI,credit_card,PaymentMethodType.UnionPayCreditCard,,,,ClientActionContract.NoMessage,CupErrorCodes.ValidationFailed,,CupErrorMessages.InvalidPhoneOrCvv,CupErrorTargets.Cvv,
,,,,,,,CupErrorCodes.InvalidPhoneValue,,,CupErrorTargets.PhoneNumber,
,,,,,,,CupErrorCodes.InvalidCvv,,,,
,,,,,,ClientActionContract.NoMessage,CupErrorCodes.InvalidExpiryDate,,CupErrorMessages.InvalidExpiryDate,CupErrorTargets.ExpiryMonth,
,,,,,,,CupErrorCodes.ExpiredCard,,,CupErrorTargets.ExpiryYear,
,,,,,,CupErrorMessages.TooManySmsRequests,CupErrorCodes.TooManyOperations,,,,
,,,,,,CupErrorMessages.Generic,,,,,
,credit_card,PaymentMethodType.UnionPayDebitCard,,,,ClientActionContract.NoMessage,CupErrorCodes.ValidationFailed,,CupErrorMessages.InvalidPhoneNumber,CupErrorTargets.PhoneNumber,
,,,,,,,CupErrorCodes.InvalidPhoneValue,,,,
,,,,,,,CupErrorCodes.InvalidCvv,,,,
,,,,,,ClientActionContract.NoMessage,CupErrorCodes.InvalidExpiryDate,,CupErrorMessages.InvalidExpiryDate,CupErrorTargets.ExpiryMonth,
,,,,,,,CupErrorCodes.ExpiredCard,,,CupErrorTargets.ExpiryYear,
,,,,,,CupErrorMessages.TooManySmsRequests,CupErrorCodes.TooManyOperations,,,,
,,,,,,CupErrorMessages.Generic,,,,,
,credit_card,PaymentMethodType.CreditCardAmericanExpress,,,,ClientActionContract.NoMessage,CreditCardErrorCodes.InvalidCvv,,CreditCardErrorMessages.InvalidCvv,CreditCardErrorTargets.Cvv,
,,PaymentMethodType.CreditCardDiscover,,,,ClientActionContract.NoMessage,CreditCardErrorCodes.InvalidAccountHolder,,CreditCardErrorMessages.InvalidAccountHolder,CreditCardErrorTargets.AccountHolderName,
,,PaymentMethodType.CreditCardVisa,,,,ClientActionContract.NoMessage,CreditCardErrorCodes.ExpiredCard,,CreditCardErrorMessages.ExpiredCard,CreditCardErrorTargets.ExpiryMonth,
,,PaymentMethodType.CreditCardMasterCard,,,,,,,,CreditCardErrorTargets.ExpiryYear,
,,,,,,ClientActionContract.NoMessage,CreditCardErrorCodes.InvalidExpiryDate,,CreditCardErrorMessages.InvalidExpiryDate,CreditCardErrorTargets.ExpiryMonth,
,,,,,,,,,,CreditCardErrorTargets.ExpiryYear,
,,,,,,ClientActionContract.NoMessage,CreditCardErrorCodes.InvalidCity,,CreditCardErrorMessages.InvalidCity,CreditCardErrorTargets.City,
,,,,,,ClientActionContract.NoMessage,CreditCardErrorCodes.InvalidState,,CreditCardErrorMessages.InvalidState,CreditCardErrorTargets.State,
,,,,,,ClientActionContract.NoMessage,CreditCardErrorCodes.InvalidZipCode,,CreditCardErrorMessages.InvalidZipCode,CreditCardErrorTargets.PostalCode,
,,,,,,ClientActionContract.NoMessage,CreditCardErrorCodes.InvalidCountryCode,,CreditCardErrorMessages.InvalidCountry,CreditCardErrorTargets.Country,
,,,,,,,CreditCardErrorCodes.InvalidCountry,,,,
,,,,,,ClientActionContract.NoMessage,CreditCardErrorCodes.InvalidAddress,,CreditCardErrorMessages.InvalidAddress,CreditCardErrorTargets.AddressLine1,
,,,,,,,,,,CreditCardErrorTargets.AddressLine2,
,,,,,,,,,,CreditCardErrorTargets.AddressLine3,
,,,,,,,,,,CreditCardErrorTargets.City,
,,,,,,,,,,CreditCardErrorTargets.State,
,,,,,,,,,,CreditCardErrorTargets.Country,
,,,,,,,,,,CreditCardErrorTargets.PostalCode,
,,,,,,CreditCardErrorMessages.Generic,,,,,
,direct_debit,PaymentMethodType.Ach,,,,ClientActionContract.NoMessage,CreditCardErrorCodes.InvalidCvv,,CreditCardErrorMessages.InvalidCvv,CreditCardErrorTargets.Cvv,
,,PaymentMethodType.Sepa,,,,ClientActionContract.NoMessage,CreditCardErrorCodes.InvalidAccountHolder,,CreditCardErrorMessages.InvalidAccountHolder,CreditCardErrorTargets.AccountHolderName,
,,,,,,ClientActionContract.NoMessage,CreditCardErrorCodes.ExpiredCard,,CreditCardErrorMessages.ExpiredCard,CreditCardErrorTargets.ExpiryMonth,
,,,,,,,,,,CreditCardErrorTargets.ExpiryYear,
,,,,,,ClientActionContract.NoMessage,CreditCardErrorCodes.InvalidExpiryDate,,CreditCardErrorMessages.InvalidExpiryDate,CreditCardErrorTargets.ExpiryMonth,
,,,,,,,,,,CreditCardErrorTargets.ExpiryYear,
,,,,,,ClientActionContract.NoMessage,CreditCardErrorCodes.InvalidCity,,CreditCardErrorMessages.InvalidCity,CreditCardErrorTargets.City,
,,,,,,ClientActionContract.NoMessage,CreditCardErrorCodes.InvalidState,,CreditCardErrorMessages.InvalidState,CreditCardErrorTargets.State,
,,,,,,ClientActionContract.NoMessage,CreditCardErrorCodes.InvalidZipCode,,CreditCardErrorMessages.InvalidZipCode,CreditCardErrorTargets.PostalCode,
,,,,,,ClientActionContract.NoMessage,CreditCardErrorCodes.InvalidCountryCode,,CreditCardErrorMessages.InvalidCountry,CreditCardErrorTargets.Country,
,,,,,,,CreditCardErrorCodes.InvalidCountry,,,,
,,,,,,ClientActionContract.NoMessage,CreditCardErrorCodes.InvalidAddress,,CreditCardErrorMessages.InvalidAddress,CreditCardErrorTargets.AddressLine1,
,,,,,,,,,,CreditCardErrorTargets.AddressLine2,
,,,,,,,,,,CreditCardErrorTargets.AddressLine3,
,,,,,,,,,,CreditCardErrorTargets.City,
,,,,,,,,,,CreditCardErrorTargets.State,
,,,,,,,,,,CreditCardErrorTargets.Country,
,,,,,,,,,,CreditCardErrorTargets.PostalCode,
,,,,,,CreditCardErrorMessages.Generic,,,,,
ResumePendingOperation,credit_card,PaymentMethodType.UnionPayCreditCard,,,,ClientActionContract.NoMessage,CupErrorCodes.ValidationFailed,,CupErrorMessages.InvalidPhoneOrCvv,CupErrorTargets.Cvv,Jumpback
,,,,,,,CupErrorCodes.InvalidCvv,,,CupErrorTargets.PhoneNumber,
,,,,,,ClientActionContract.NoMessage,CupErrorCodes.InvalidExpiryDate,,CupErrorMessages.InvalidExpiryDate,CupErrorTargets.ExpiryMonth,Jumpback
,,,,,,,CupErrorCodes.ExpiredCard,,,CupErrorTargets.ExpiryYear,
,,,,,,ClientActionContract.NoMessage,CupErrorCodes.InvalidChallengeCode,CupErrorCodes.InvalidChallengeCode,CupErrorMessages.InvalidSmsCode,CupErrorTargets.Sms,
,,,,,,ClientActionContract.NoMessage,CupErrorCodes.ChallengeCodeExpired,CupErrorCodes.ChallengeCodeExpired,CupErrorMessages.SmsCodeExpired,CupErrorTargets.Sms,
